Active metal,Derived,Electrode support,Catalyst size,Potential,Anion Electrolyte ,[C] of Anion (M),Cation Electrolyte ,[C] of Cation (M),Membrane,,H2,CO,C1,C2+,,Paper,,
Cu2O,oxide ,-,28.4,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,53.01724138,5.387931034,14.87068966,27.15517241,100.4310345,,,
Cu2O,oxide ,-,28.4,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,39.65517241,12.06896552,26.07758621,21.71551724,99.51724138,,,
Cu2O,oxide ,-,40.6,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,96.7611336,0,0,2.226720648,98.98785425,,,
Cu2O,oxide ,-,40.6,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,81.37651822,0,0.4048583,15.36032389,97.1417004,,,
Cu2O,oxide ,-,40.6,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,89.06882591,0,0.809716599,9.311740891,99.1902834,,,
Cu2O,oxide ,-,40.6,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,72.67206478,0,1.214574899,18.82591093,92.71255061,,,
Cu2O,oxide ,-,40.6,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,69.23076923,0,1.619433198,18.62348178,89.47368421,,,
Cu2O,oxide ,-,40.6,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,56.07287449,0.931174089,1.821862348,39.40080972,98.22672065,,,
Cu2O,oxide ,-,40.6,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,56.88259109,2.024291498,15.58704453,27.73279352,102.2267206,,,
Cu2O,oxide ,-,40.6,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,54.048583,5.263157895,19.43319838,17.58704453,96.33198381,,,
Cu2O,oxide ,-,25.4,-1.13,K+,0.1,HCO3-,0.1,anion exchange membrane,,94.06071271,0.131984162,0.131984162,1.40783106,95.7325121,,,
Cu2O,oxide ,-,25.4,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,58.424989,0.131984162,0.791904971,31.54421469,90.89309283,,,
Cu2O,oxide ,-,25.4,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,41.04707435,0.131984162,3.431588209,56.36339639,100.9740431,,,
Cu2O,oxide ,-,25.4,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,36.64760229,0.791904971,4.751429828,57.00439947,99.19533656,,,
Cu2O,oxide ,-,25.4,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,37.96744391,1.671799384,6.511218654,53.14342279,99.29388473,,,
Cu2O,oxide ,-,25.4,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.32644083,3.211614606,15.53013638,33.90453146,98.97272327,,,
Cu2O,oxide ,-,25.4,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,67.22393313,2.331720194,13.55037396,22.96524417,106.0712714,,,
Cu2O,oxide ,-,25.4,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,54.90541135,6.95116586,21.90937088,16.80598328,100.5719314,,,
Cu2O,oxide ,-,25.4,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,61.72459305,13.33040035,24.98900132,2.947646282,102.991641,,,
Cu2O,oxide ,-,18.2,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,84.33476395,0,7.939914163,12.66094421,104.9356223,,,
Cu2O,oxide ,-,18.2,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.56652361,0,2.145922747,50.40772532,99.12017167,,,
Cu2O,oxide ,-,18.2,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,35.6223176,0.429184549,4.291845494,55.92274678,96.26609442,,,
Cu2O,oxide ,-,18.2,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,33.9055794,1.502145923,7.725321888,53.91845494,97.05150215,,,
Cu2O,oxide ,-,18.2,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.56652361,1.716738197,6.86695279,44.98283262,100.1330472,,,
Cu2O,oxide ,-,18.2,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,45.27896996,9.227467811,21.45922747,20.45064378,96.41630901,,,
Cu2O,oxide ,-,18.2,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,45.70815451,18.6695279,21.03004292,14.72103004,100.1287554,,,
Cu2O,oxide ,-,21.8,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,86.31346578,0,0,9.050772627,95.36423841,,,
Cu2O,oxide ,-,21.8,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,63.57615894,0,0.883002208,32.22958057,96.68874172,,,
Cu2O,oxide ,-,21.8,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,53.200883,0.220750552,1.103752759,41.12582781,95.65121413,,,
Cu2O,oxide ,-,21.8,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,39.73509934,0.883002208,6.622516556,53.09933775,100.3399558,,,
Cu2O,oxide ,-,21.8,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,43.70860927,1.766004415,5.960264901,47.16335541,98.598234,,,
Cu2O,oxide ,-,21.8,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,53.200883,1.766004415,9.713024283,33.99558499,98.67549669,,,
Cu2O,oxide ,-,21.8,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,50.77262693,4.194260486,17.21854305,23.3995585,95.58498896,,,
Cu2O,oxide ,-,21.8,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,52.09713024,10.37527594,17.66004415,17.06401766,97.19646799,,,
Cu2O,oxide ,-,22,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,105.7831325,0,0,1.927710843,107.7108434,,,
Cu2O,oxide ,-,22,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,64.3373494,0.481927711,0.963855422,29.87951807,95.6626506,,,
Cu2O,oxide ,-,22,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,62.40963855,0.481927711,3.373493976,34.93975904,101.2048193,,,
Cu2O,oxide ,-,22,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,41.20481928,0.722891566,3.614457831,50.46987952,96.01204819,,,
Cu2O,oxide ,-,22,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,50.84337349,0.963855422,12.04819277,34.45783133,98.31325301,,,
Cu2O,oxide ,-,22,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,57.8313253,0.963855422,7.469879518,35.90361446,102.1686747,,,
Cu2O,oxide ,-,22,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,61.92771084,2.409638554,9.156626506,30.60240964,104.0963855,,,
Cu2O,oxide ,-,22,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,40.24096386,9.879518072,23.61445783,26.97590361,100.7108434,,,
Cu2O,oxide ,-,33.1,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,93.99141631,0,0.429184549,7.510729614,101.9313305,,,
Cu2O,oxide ,-,33.1,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,77.25321888,0.214592275,0.429184549,17.8111588,95.70815451,,,
Cu2O,oxide ,-,33.1,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,59.65665236,0.429184549,1.287553648,37.25321888,98.62660944,,,
Cu2O,oxide ,-,33.1,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,54.93562232,1.287553648,2.575107296,39.39914163,98.19742489,,,
Cu2O,oxide ,-,33.1,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.99570815,1.072961373,5.364806867,42.91845494,96.35193133,,,
Cu2O,oxide ,-,33.1,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.78111588,1.716738197,9.442060086,39.91416309,97.85407725,,,
Cu2O,oxide ,-,33.1,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,52.14592275,2.789699571,14.16309013,26.60944206,95.70815451,,,
Cu2O,oxide ,-,33.1,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,47.4248927,7.510729614,24.67811159,18.87553648,98.48927039,,,
Cu2O,oxide ,-,36.1,-1.08,K+,0.1,HCO3-,0.1,anion exchange membrane,,96.17117117,0,0,2.702702703,98.87387387,,,
Cu2O,oxide ,-,36.1,-1.03,K+,0.1,HCO3-,0.1,anion exchange membrane,,56.08108108,0,0.675675676,43.45945946,100.2162162,,,
Cu2O,oxide ,-,36.1,-0.98,K+,0.1,HCO3-,0.1,anion exchange membrane,,46.3963964,0.225225225,2.252252252,51.03603604,99.90990991,,,
Cu2O,oxide ,-,36.1,-0.93,K+,0.1,HCO3-,0.1,anion exchange membrane,,36.48648649,1.351351351,3.828828829,54.66666667,96.33333333,,,
Cu2O,oxide ,-,36.1,-0.88,K+,0.1,HCO3-,0.1,anion exchange membrane,,53.6036036,0.900900901,6.081081081,37.65765766,98.24324324,,,
Cu2O,oxide ,-,36.1,-0.83,K+,0.1,HCO3-,0.1,anion exchange membrane,,61.48648649,1.126126126,6.081081081,34.23423423,102.9279279,,,
Cu2O,oxide ,-,36.1,-0.78,K+,0.1,HCO3-,0.1,anion exchange membrane,,57.20720721,2.702702703,9.234234234,31.52252252,100.6666667,,,
Cu2O,oxide ,-,36.1,-0.68,K+,0.1,HCO3-,0.1,anion exchange membrane,,54.05405405,2.702702703,12.16216216,30.47747748,99.3963964,,,
Cu,nanoparticle,glassy carbon,7,-0.95,Na+,0.1,HCO3-,0.1,ion exchange membrane,,42.71047228,6.735112936,13.14168378,0,62.58726899,Morphological evolution in the absence of carbon dioxide,,
Cu,nanoparticle,glassy carbon,7,-1.05,Na+,0.1,HCO3-,0.1,ion exchange membrane,,20.20533881,3.613963039,45.66735113,3.942505133,73.42915811,,,
Cu,nanoparticle,glassy carbon,7,-1.15,Na+,0.1,HCO3-,0.1,ion exchange membrane,,13.30595483,2.135523614,64.55852156,4.928131417,84.92813142,,,
Cu,nanoparticle,glassy carbon,7,-1.25,Na+,0.1,HCO3-,0.1,ion exchange membrane,,12.32032854,1.149897331,69.32238193,3.285420945,86.07802875,,,
Cu,nanoparticle,glassy carbon,7,-1.35,Na+,0.1,HCO3-,0.1,ion exchange membrane,,24.47638604,0.821355236,76.38603696,2.628336756,104.312115,,,
Cu,nanoparticle,glassy carbon,7,-1.45,Na+,0.1,HCO3-,0.1,ion exchange membrane,,26.11909651,0.164271047,64.39425051,1.478439425,92.15605749,,,
Cu,nanoneedle,-,335,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,37.79527559,9.448818898,17.84776903,34.90813648,100,Vertical Cu Nanoneedle Arrays Enhance the Local Electric Field Promoting C2 Hydrocarbons in the CO2 Electroreduction,,
Cu,nanoneedle,-,335,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,20.99737533,1.837270341,17.58530184,59.58005249,100,,,
Cu,nanoneedle,-,335,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,22.04724409,1.837270341,27.55905512,48.55643045,100,,,
Cu,nanoneedle,-,335,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,35.17060367,2.624671916,41.99475066,20.20997375,100,,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-0.85,K+,0.1,HCO3-,0.1,anion exchange membrane,,15.8,16.5,66,0,98.3,Steering post-C-C coupling selectivity enables high efficiency electroreduction of carbon dioxide to multi-carbon alcohols,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-0.9,K+,0.1,HCO3-,0.1,anion exchange membrane,,16.8,10.5,61.4,8.2,96.9,,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-0.95,K+,0.1,HCO3-,0.1,anion exchange membrane,,13.8,3.5,31.1,50.8,99.2,,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-1,K+,0.1,HCO3-,0.1,anion exchange membrane,,18.5,1.5,29.3,48.5,97.8,,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-1.05,K+,0.1,HCO3-,0.1,anion exchange membrane,,29.8,0.5,19.8,42.4,92.5,,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-1.1,K+,0.1,HCO3-,0.1,anion exchange membrane,,35.5,0,19.4,46.7,101.6,,,
Cu2S,"sulfide,nanoparticles",glassy carbon,8,-1.15,K+,0.1,HCO3-,0.1,anion exchange membrane,,41.8,0,6,37.3,85.1,,,
Cu2O,oxide ,,100,-0.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,36.15702479,10.74380165,29.75206612,23.3481153,100.0010079,A strategy to control the grain boundary density and Cu+/Cu0 ratio of Cu-based catalysts for efficient electroreduction of CO2 to C2 products,,
Cu2O,oxide ,,100,-0.7,K+,0.1,HCO3-,0.1,proton exchange membrane,,30.78512397,8.47107438,28.51239669,32.02882483,99.79741988,,,
Cu2O,oxide ,,100,-0.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,24.38016529,5.991735537,25.20661157,44.1518847,99.7303971,,,
Cu2O,oxide ,,100,-0.9,K+,0.1,HCO3-,0.1,proton exchange membrane,,15.70247934,4.752066116,14.87603306,64.50665188,99.8372304,,,
Cu2O,oxide ,,100,-1,K+,0.1,HCO3-,0.1,proton exchange membrane,,27.27272727,4.132231405,16.94214876,51.63525499,99.98236243,,,
Cu2O,oxide ,,100,-1.1,K+,0.1,HCO3-,0.1,proton exchange membrane,,41.94214876,2.892561983,14.87603306,39.96119734,99.67194114,,,
Cu2O,oxide ,,100,-1.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,54.33884298,1.446280992,11.98347107,31.87915743,99.64775247,,,
Cu,nanoparticle,Vulcan Carbon,9,-2.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,9.770762871,3.006388576,45.09582864,35.13716648,93.01014656,Effect of nanostructured carbon support on copper electrocatalytic activity toward CO2 electroreduction to hydrocarbon fuels,,
Cu,nanoparticle,Vulcan Carbon,9,-2,K+,0.1,HCO3-,0.1,proton exchange membrane,,20.48102217,3.945885006,44.53213078,29.87598647,98.83502443,,,
Cu,nanoparticle,Vulcan Carbon,9,-1.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,20.85682074,10.14656144,24.99060504,40.02254791,96.01653514,,,
Cu,nanoparticle,Vulcan Carbon,9,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,30.25178504,22.54791432,7.328072153,20.1052236,80.23299511,,,
Cu,nanoparticle,Vulcan Carbon,9,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,50.9207065,7.703870725,1.87899286,0.375798572,60.87936866,,,
Cu,nanoparticle,reduced graphene oxide,13,-2.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,18.33333333,7.586206897,30.55555556,35.40229885,91.87739464,,,
Cu,nanoparticle,reduced graphene oxide,13,-2,K+,0.1,HCO3-,0.1,proton exchange membrane,,14.54022989,4.636015326,43.62068966,48.46743295,111.2643678,,,
Cu,nanoparticle,reduced graphene oxide,13,-1.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,21.91570881,6.53256705,8.850574713,61.11111111,98.40996169,,,
Cu,nanoparticle,reduced graphene oxide,13,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,22.96934866,8.218390805,1.264367816,32.45210728,64.90421456,,,
Cu,nanoparticle,reduced graphene oxide,13,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,63.63984674,23.18007663,0,1.264367816,88.08429119,,,
Cu,nanoparticle,onion-like carbon,15,-2.2,K+,0.1,HCO3-,0.1,proton exchange membrane,,83.74587459,12.9950495,8.45709571,1.443894389,106.6419142,,,
Cu,nanoparticle,onion-like carbon,15,-2,K+,0.1,HCO3-,0.1,proton exchange membrane,,73.01980198,4.331683168,9.282178218,4.125412541,90.75907591,,,
Cu,nanoparticle,onion-like carbon,15,-1.8,K+,0.1,HCO3-,0.1,proton exchange membrane,,35.27227723,18.97689769,19.8019802,27.02145215,101.0726073,,,
Cu,nanoparticle,onion-like carbon,15,-1.6,K+,0.1,HCO3-,0.1,proton exchange membrane,,32.38448845,22.0709571,1.650165017,14.23267327,70.33828383,,,
Cu,nanoparticle,onion-like carbon,15,-1.4,K+,0.1,HCO3-,0.1,proton exchange membrane,,59.61221122,14.23267327,0,0,73.84488449,,,
Cu,foil,-,4500,-1.029,Li+,0.1,HCO3-,0.1,anion exchange membrane,,85.95,0.47,0.65,2.17,89.24,Hydrolysis of Electrolyte Cations Enhances the Electrochemical Reduction of CO2 over Ag and Cu,,
Cu,foil,-,4500,-1.028,Na+,0.1,HCO3-,0.1,anion exchange membrane,,66.25,0.72,3.14,7.95,78.06,,,
Cu,foil,-,4500,-1.031,K+,0.1,HCO3-,0.1,anion exchange membrane,,55.05,1.67,10.2,13.83,80.75,,,
Cu,foil,-,4500,-1.021,Rb+,0.1,HCO3-,0.1,anion exchange membrane,,32.16,2.25,12.88,38.16,85.45,,,
Cu,foil,-,4500,-1.015,Cs+,0.1,HCO3-,0.1,anion exchange membrane,,31.09,0.89,24.12,46.7,102.8,,,
Cu,graphene-covered nanocrystal,-,4,-1.14,K+,0.1,HCO3-,0.1,proton exchange membrane,,44.02173913,0.489130435,7.826086957,40.59782609,92.93478261,Emergence of Potential-Controlled Cu-Nanocuboids and Graphene-Covered Cu-Nanocuboids under Operando CO2 Electroreduction,,
Cu,graphene-covered nanocrystal,-,4,-1.04,K+,0.1,HCO3-,0.1,proton exchange membrane,,33.99456522,1.222826087,22.01086957,44.02173913,101.25,,,
Cu,graphene-covered nanocrystal,-,4,-0.94,K+,0.1,HCO3-,0.1,proton exchange membrane,,33.26086957,5.135869565,39.86413043,4.64673913,82.9076087,,,
Cu,graphene-covered nanocrystal,-,4,-0.84,K+,0.1,HCO3-,0.1,proton exchange membrane,,47.69021739,10.51630435,34.23913043,0,92.44565217,,,
Cu,graphene-covered nanocrystal,-,4,-0.74,K+,0.1,HCO3-,0.1,proton exchange membrane,,56.98369565,5.380434783,13.94021739,0,76.30434783,,,
Cu,graphene-covered nanocrystal,-,4,-0.64,K+,0.1,HCO3-,0.1,proton exchange membrane,,84.375,4.64673913,17.85326087,0,106.875,,,
Cu2O,cube,carbon paper,85.3,-0.63,K+,0.1,HCO3-,0.1,ion exchange membrane,,38.50596,13.3688,15.16696,36.82985,103.87157,Exploring the influence of cell configurations on Cu catalyst reconstruction during CO2 electroreduction,,
Cu2O,cube,carbon paper,85.3,-0.78,K+,0.1,HCO3-,0.1,ion exchange membrane,,40.4613,4.59396,37.90443,34.59035,117.55004,,,
Cu2O,cube,carbon paper,85.3,-0.92,K+,0.1,HCO3-,0.1,ion exchange membrane,,44.63691,3.13235,19.05228,37.10567,103.92721,,,
Cu2O,cube,carbon paper,85.3,-1.01,K+,0.1,HCO3-,0.1,ion exchange membrane,,44.01741,2.89283,7.97357,43.67892,98.56273,,,
Cu2O,cube,carbon paper,85.3,-1.1,K+,0.1,HCO3-,0.1,ion exchange membrane,,61.91701,0.395,0.70387,34.10788,97.12376,,,
Cu2O,nanoparticle ,carbon paper,92.9,-0.67,K+,0.1,HCO3-,0.1,ion exchange membrane,,61.2035,21.75509,12.77842,1.17412,96.91113,,,
Cu2O,nanoparticle ,carbon paper,92.9,-0.77,K+,0.1,HCO3-,0.1,ion exchange membrane,,36.69624,9.21004,5.87576,41.16742,92.94946,,,
Cu2O,nanoparticle ,carbon paper,92.9,-0.89,K+,0.1,HCO3-,0.1,ion exchange membrane,,34.27906,8.31773,8.93614,44.39463,95.92756,,,
Cu2O,nanoparticle ,carbon paper,92.9,-1.01,K+,0.1,HCO3-,0.1,ion exchange membrane,,55.9402,1.51226,0.49901,40.84411,98.79558,,,
Cu2O,nanoparticle ,carbon paper,92.9,-1.09,K+,0.1,HCO3-,0.1,ion exchange membrane,,74.0652,0.63784,0,26.35527,101.05831,,,
Cu,nanoparticle ,carbon paper,70,-0.69,K+,0.1,HCO3-,0.1,ion exchange membrane,,62.83559,15.42746,13.1083,0.70813,92.07948,,,
Cu,nanoparticle ,carbon paper,70,-0.81,K+,0.1,HCO3-,0.1,ion exchange membrane,,32.51599,22.9224,19.57599,22.97109,97.98547,,,
Cu,nanoparticle ,carbon paper,70,-0.94,K+,0.1,HCO3-,0.1,ion exchange membrane,,33.89732,9.59037,12.59426,38.11154,94.19349,,,
Cu,nanoparticle ,carbon paper,70,-1.04,K+,0.1,HCO3-,0.1,ion exchange membrane,,39.23169,1.89921,8.96719,43.15988,93.25797,,,
Cu,nanoparticle ,carbon paper,70,-1.12,K+,0.1,HCO3-,0.1,ion exchange membrane,,68.21901,0.44043,0.65844,27.74754,97.06542,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
